,0
0,symbol
1,metric.assetTurnoverAnnual
2,metric.assetTurnoverTTM
3,metric.inventoryTurnoverAnnual
4,metric.inventoryTurnoverTTM
5,metric.netIncomeEmployeeAnnual
6,metric.netIncomeEmployeeTTM
7,metric.receivablesTurnoverAnnual
8,metric.receivablesTurnoverTTM
9,metric.revenueEmployeeAnnual
10,metric.revenueEmployeeTTM
11,metric.roaRfy
12,metric.roaa5Y
13,metric.roae5Y
14,metric.roaeTTM
15,metric.roeRfy
16,metric.roeTTM
17,metric.roi5Y
18,metric.roiAnnual
19,metric.roiTTM
20,metric.freeOperatingCashFlow/revenue5Y
21,metric.freeOperatingCashFlow/revenueTTM
22,metric.grossMargin5Y
23,metric.grossMarginAnnual
24,metric.grossMarginTTM
25,metric.netProfitMargin%Annual
26,metric.netProfitMargin5Y
27,metric.netProfitMarginTTM
28,metric.operatingMargin5Y
29,metric.operatingMarginAnnual
30,metric.operatingMarginTTM
31,metric.pretaxMargin5Y
32,metric.pretaxMarginAnnual
33,metric.pretaxMarginTTM
34,metric.bookValueShareGrowth5Y
35,metric.capitalSpendingGrowth5Y
36,metric.dividendGrowthRate5Y
37,metric.ebitdaCagr5Y
38,metric.ebitdaInterimCagr5Y
39,metric.epsGrowth3Y
40,metric.epsGrowth5Y
41,metric.epsGrowthQuarterlyYoy
42,metric.epsGrowthTTMYoy
43,metric.focfCagr5Y
44,metric.netMarginGrowth5Y
45,metric.revenueGrowth3Y
46,metric.revenueGrowth5Y
47,metric.revenueGrowthQuarterlyYoy
48,metric.revenueGrowthTTMYoy
49,metric.revenueShareGrowth5Y
50,metric.tbvCagr5Y
51,metric.totalDebtCagr5Y
52,metric.currentDividendYieldTTM
53,metric.dividendYield5Y
54,metric.dividendYieldIndicatedAnnual
55,metric.netDebtAnnual
56,metric.netDebtInterim
57,metric.pbAnnual
58,metric.pbQuarterly
59,metric.pcfShareTTM
60,metric.peBasicExclExtraTTM
61,metric.peExclExtraAnnual
62,metric.peExclExtraHighTTM
63,metric.peExclExtraTTM
64,metric.peExclLowTTM
65,metric.peInclExtraTTM
66,metric.peNormalizedAnnual
67,metric.pfcfShareAnnual
68,metric.pfcfShareTTM
69,metric.psAnnual
70,metric.psTTM
71,metric.ptbvAnnual
72,metric.ptbvQuarterly
73,metric.currentEv/freeCashFlowAnnual
74,metric.currentEv/freeCashFlowTTM
75,metric.currentRatioAnnual
76,metric.currentRatioQuarterly
77,metric.freeCashFlowAnnual
78,metric.freeCashFlowTTM
79,metric.longTermDebt/equityAnnual
80,metric.longTermDebt/equityQuarterly
81,metric.netInterestCoverageAnnual
82,metric.netInterestCoverageTTM
83,metric.payoutRatioAnnual
84,metric.payoutRatioTTM
85,metric.quickRatioAnnual
86,metric.quickRatioQuarterly
87,metric.totalDebt/totalEquityAnnual
88,metric.totalDebt/totalEquityQuarterly
