,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
0,management,AAPL,0.73888,0.74946,40.13446,36.56687,410825.3,419905.1,11.28444,13.71081,1934379,1953891,15.69236,16.0985,44.71466,55.46829,55.91722,16.1064,22.4014,22.89958,22.83302
1,management,BAC,,,,,133155.3,,,,442932,,1.14564,0.97437,8.51805,10.73393,10.73393,1.14564,,,
2,management,AMZN,1.44638,1.44637,8.78851,8.78851,16052.58,14538.85,15.07494,15.07489,388131.4,351530.1,5.98202,4.61216,19.03761,21.9451,21.9451,5.98202,8.38666,10.01498,10.01498
3,management,T,0.33445,0.33445,29.86371,,58268.48,60873.98,6.97392,6.97392,705031.1,736556.9,2.76411,3.20867,9.61561,7.54799,7.54799,2.76411,3.75153,3.24593,3.24593
4,management,GOOGL,0.63635,0.63635,68.2773,68.2773,315551.1,288841.8,7.01226,7.01226,1487178,1361298,13.50223,13.02152,16.55586,18.11961,18.11961,13.50223,15.01611,16.01595,16.01595
5,management,MO,0.47952,0.47952,5.36202,5.36202,-155641,-166027.4,170.8163,170.8163,3219231,3439726,-2.31834,14.81611,63.87611,-11.55695,-11.57599,-2.31452,19.29537,-3.22928,-3.22396
6,management,DAL,0.75333,0.75333,18.33044,18.33304,52994.93,52245.02,18.19156,18.19156,522578.7,515292,7.63955,7.57275,34.21577,32.81804,32.82493,7.63794,11.13613,11.08398,11.08166
7,management,AA,0.67828,0.67828,4.93041,4.93041,-61366.91,-61811.59,15.16424,15.16424,750575.6,756014.5,-5.54562,-0.52405,-5.70377,-23.12436,-23.12436,-5.54562,-0.74243,-7.92125,-7.92125
8,management,AXP,0.2332,0.2332,,,,,0.80481,0.80481,,,3.49372,3.34681,27.49404,29.23657,29.23657,3.49372,6.10306,6.53072,6.46358
9,management,DD,0.16725,0.16725,3.33634,3.33634,-10210.53,-19400,5.91314,5.95241,323488.7,614628.6,-0.52789,,,-1.04968,-1.04968,-0.52789,,-0.78309,-0.78309
